Source Sentence,Target Sentence
"(c) Should the statutory technical-control requirements in Switzerland not be satisfied, the Chambre suisse d'horlogerie may request that the calibres of rough movements concerned be struck off the list and shall notify the party concerned of this request. In the event of a disagreement, the party concerned may, within two months, resort to the procedure provided for in paragraph 3 of this Article.","c) Dans le cas où les exigences du contrôle technique légal en Suisse ne seraient pas satisfaites, la Chambre suisse de l'horlogerie peut demander la radiation des calibres d'ébauches concernés figurant sur la liste et notifie cette demande à la partie intéressée. En cas de désaccord, la partie intéressée peut recourir à la procédure prévue au paragraphe 3 du présent article dans un délai de deux mois."
"(d) All applications for amendments to the list, in accordance with subparagraphs (a), (b) and (c) above, shall be notified to the Joint Committee by the Chambre suisse de l'horlogerie forthwith.","d) Toute demande portant sur la modification de la liste selon les lettres a), b) et c) ci-dessus est notifiée sans délai à la commission mixte par la Chambre suisse de l'horlogerie."
"3. In the event of a dispute about the equivalence of quality, the matter shall be referred forthwith by any interested party to the Joint Committee provided for in Article 9 of the Agreement of 30 June 1967.","3. En cas de contestation de l'équivalence de la qualité, la commission mixte prévue à l'article 9 de l'accord du 30 juin 1967 est saisie sans délai par toute partie intéressée."
"The first party so to decide shall, on its own initiative, seek a joint expert opinion from the institute for official quality control in the Swiss clock and watch industry and a corresponding qualified institute in the Community nominated by the Community interested party.","De sa propre initiative, la partie la plus diligente demande une expertise conjointe à l'Institut pour le contrôle officiel de la qualité dans l'industrie horlogère suisse et à un institut correspondant qualifié de la Communauté désigné par la partie intéressée de la Communauté."
The institutes shall have three months in which to give the expert opinion requested.,Les instituts disposent d'un délai de trois mois pour procéder à l'expertise requise.
,"En vue de cette expertise, les instituts s'entendent pour prélever deux lots de montres ou de mouvements de montres suffisamment représentatifs et ne dépassant pas, en principe, chacun, 50 montres ou mouvements, l'un dans une entreprise suisse, l'autre dans une entreprise communautaire. contrôle technique légal en Suisse, les instituts comparent leurs résultats et établissent à l'intention de la commission mixte un rapport commun avec leurs conclusions et avec leurs propositions éventuelles."
The Joint Committee shall consider this report at its following meeting.,
Article 3,Article 3
The Agreement and the annexed list shall be published in the official journals of the contracting parties and shall be communicated to the watch and clock manufacturers by the trade associations concerned.,Cette liste y annexée sont publiés dans les journaux officiels des parties contractantes et communiqués aux fabricants d'horlogerie par les organisations professionnelles intéressées.
Changes in the annexed list shall be published and communicated in the same manner.,Les modifications de la liste annexée font l'objet des mêmes publications et communications.
"Every three years at least, beginning from the entry into force of the Agreement, the Joint Committee shall review the list to take into account any items which have in the meantime been entered on or struck off the list. The new list shall be published and communicated in the same manner.","Tous les trois ans au moins, à compter de l'entrée en vigueur de l'accord, la commission mixte procède à la refonte de la liste pour tenir compte des inscriptions et radiations intervenues entre-temps. La liste ainsi refondue fait l'objet des mêmes publications et communications."
Any further information can be obtained from the trade associations concerned.,Tous renseignements complémentaires peuvent être obtenus auprès des organisations professionnelles intéressées.
Article 4,Article 4
Either Contracting Party may denounce the Agreement by giving 12 months'notice.,L'accord peut être dénoncé par chaque partie contractante moyennant un préavis de douze mois.
Article 5,Article 5
The Agreement shall be concluded and ratified by the Contracting Parties in accordance with their own procedures.,L'accord sera conclu et ratifié par les parties contractantes en conformité de leurs règles constitutionnelles respectives.
The Agreement shall enter into force on 1 January 1973 provided that the Contracting Parties have exchanged their instruments of ratification by that date.,Le présent accord entre en vigueur le 1er janvier 1973 à condition que les instruments de ratification des parties contractantes aient été échangés avant cette date.
"Should the instruments of ratification be exchanged between 1 January and 30 November 1973, the Agreement shall enter into force on the first day of the second month following that exchange.","Au cas où l'échange des instruments de ratification a lieu entre le 1er janvier et le 30 novembre 1973, l'accord entre en vigueur le premier jour du deuxième mois suivant cet échange."
,ACCORD entre la Communauté économique européenne et la Confédération suisse
"THE EUROPEAN ECONOMIC COMMUNITY ,","LA COMMUNAUTÉ ÉCONOMIQUE EUROPÉENNE,"
"OF THE ONE PART , AND","d'une part,"
"THE SWISS CONFEDERATION ,","LA CONFÉDÉRATION SUISSE,"
"OF THE OTHER PART ,","d'autre part,"
"DESIRING TO CONSOLIDATE AND TO EXTEND , UPON THE ENLARGEMENT OF THE EUROPEAN ECONOMIC COMMUNITY , THE ECONOMIC RELATIONS EXISTING BETWEEN THE COMMUNITY AND SWITZERLAND AND TO ENSURE , WITH DUE REGARD FOR FAIR CONDITIONS OF COMPETITION , THE HARMONIOUS DEVELOPMENT OF THEIR COMMERCE FOR THE PURPOSE OF CONTRIBUTING TO THE WORK OF CONSTRUCTING EUROPE ,","DÉSIREUSES de consolider et d'étendre, à l'occasion de l'élargissement de la Communauté économique européenne, les relations économiques existant entre la Communauté et la Suisse et d'assurer, dans le respect de conditions équitables de concurrence, le développement harmonieux de leur commerce dans le but de contribuer à l'oeuvre de la construction européenne,"
"RESOLVED TO THIS END TO ELIMINATE PROGRESSIVELY THE OBSTACLES TO SUBSTANTIALLY ALL THEIR TRADE , IN ACCORDANCE WITH THE PROVISIONS OF THE GENERAL AGREEMENT ON TARIFFS AND TRADE CONCERNING THE ESTABLISHMENT OF FREE TRADE AREAS ,","RÉSOLUES à cet effet à éliminer progressivement les obstacles pour l'essentiel de leurs échanges, en conformité avec les dispositions de l'accord général sur les tarifs douaniers et le commerce concernant l'établissement de zones de libre-échange,"
"DECLARING THEIR READINESS TO EXAMINE , IN THE LIGHT OF ANY RELEVANT FACTOR , AND IN PARTICULAR OF DEVELOPMENTS IN THE COMMUNITY , THE POSSIBILITY OF DEVELOPING AND DEEPENING THEIR RELATIONS WHERE IT WOULD APPEAR TO BE USEFUL IN THE INTERESTS OF THEIR ECONOMIES TO EXTEND THEM TO FIELDS NOT COVERED BY THIS AGREEMENT ,","SE DÉCLARANT prêtes à examiner, en fonction de tout élément d'appréciation et notamment de l'évolution de la Communauté, la possibilité de développer et d'approfondir leurs relations, lorsqu'il apparaîtrait utile dans l'intérêt de leurs économies de les étendre à des domaines non couverts par le présent accord,"
"HAVE DECIDED , IN PURSUIT OF THESE OBJECTIVES AND CONSIDERING THAT NO PROVISION OF THIS AGREEMENT MAY BE INTERPRETED AS EXEMPTING THE CONTRACTING PARTIES FROM THE OBLIGATIONS WHICH ARE INCUMBENT UPON THEM UNDER OTHER INTERNATIONAL AGREEMENTS ,","ONT DÉCIDÉ, dans la poursuite de ces objectifs et considérant qu'aucune disposition du présent accord ne peut être interprétée comme exemptant les parties contractantes des obligations qui leur incombent en vertu d'autres accords internationaux,"
TO CONCLUDE THIS AGREEMENT :,DE CONCLURE LE PRÉSENT ACCORD:
ARTICLE 1,Article premier
THE AIM OF THIS AGREEMENT IS :,Le présent accord vise:
"( A ) TO PROMOTE THROUGH THE EXPANSION OF RECIPROCAL TRADE THE HARMONIOUS DEVELOPMENT OF ECONOMIC RELATIONS BETWEEN THE EUROPEAN ECONOMIC COMMUNITY AND THE SWISS CONFEDERATION AND THUS TO FOSTER IN THE COMMUNITY AND IN SWITZERLAND THE ADVANCE OF ECONOMIC ACTIVITY , THE IMPROVEMENT OF LIVING AND EMPLOYMENT CONDITIONS , AND INCREASED PRODUCTIVITY AND FINANCIAL STABILITY ,","a) à promouvoir, par l'expansion des échanges commerciaux réciproques, le développement harmonieux des relations économiques entre la Communauté économique européenne et la Confédération suisse et à favoriser ainsi, dans la Communauté et en Suisse, l'essor de l'activité économique, 'amélioration des conditions de vie et des conditions d'emploi, l'accroissement de la productivité et la stabilité financière,"
"( B ) TO PROVIDE FAIR CONDITIONS OF COMPETITION FOR TRADE BETWEEN THE CONTRACTING PARTIES ,","b) à assurer aux échanges entre les parties contractantes des conditions équitables de concurrence,"
"( C ) TO CONTRIBUTE IN THIS WAY , BY THE REMOVAL OF BARRIERS TO TRADE , TO THE HARMONIOUS DEVELOPMENT AND EXPANSION OF WORLD TRADE .","c) à contribuer ainsi, par l'élimination d'obstacles aux échanges, au développement harmonieux et à l'expansion du commerce mondial."
ARTICLE 2,Article 2
THE AGREEMENT SHALL APPLY TO PRODUCTS ORIGINATING IN THE COMMUNITY OR SWITZERLAND :,L'accord s'applique aux produits originaires de la Communauté et de la Suisse:
( I ) WHICH FALL WITHIN CHAPTERS 25 TO 99 OF THE BRUSSELS NOMENCLATURE EXCLUDING THE PRODUCTS LISTED IN ANNEX I ;,"i) relevant des chapitres 25 à 99 de la Nomenclature de Bruxelles, à l'exclusion des produits énumérés à l'annexe I;"
"( II ) WHICH ARE SPECIFIED IN PROTOCOL NO 2 , WITH DUE REGARD TO THE ARRANGEMENTS PROVIDED FOR IN THAT PROTOCOL .","ii) figurant au protocole nº 2, compte tenu des modalités particulières prévues dans ce dernier."
ARTICLE 3,Article 3
1 . NO NEW CUSTOMS DUTY ON IMPORTS SHALL BE INTRODUCED IN TRADE BETWEEN THE COMMUNITY AND SWITZERLAND .,1. Aucun nouveau droit de douane à l'importation n'est introduit dans les échanges entre la Communauté et la Suisse.
2 . CUSTOMS DUTIES ON IMPORTS SHALL BE PROGRESSIVELY ABOLISHED IN ACCORDANCE WITH THE FOLLOWING TIMETABLE :,2. Les droits de douane à l'importation sont progressivement supprimés selon le rythme suivant:
( A ) ON 1 APRIL 1973 EACH DUTY SHALL BE REDUCED TO 80 % OF THE BASIC DUTY ;,- le 1er avril 1973 chaque droit est ramené à 80 % du droit de base;
( B ) FOUR FURTHER REDUCTIONS OF 20 % EACH SHALL BE MADE ON :,"- les quatre autres réductions, de 20 % chacune, sont effectuées:"
"1 JANUARY 1974 ,","le 1er janvier 1974,"
"1 JANUARY 1975 ,","le 1er janvier 1975,"
"1 JANUARY 1976 ,","le 1er janvier 1976,"
1 JULY 1977 .,le 1er juillet 1977.
ARTICLE 4,Article 4
1 . THE PROVISIONS CONCERNING THE PROGRESSIVE ABOLITION OF CUSTOMS DUTIES ON IMPORTS SHALL ALSO APPLY TO CUSTOMS DUTIES OF A FISCAL NATURE .,1. Les dispositions portant sur la suppression progressive des droits de douane à l'importation sont aussi applicables aux droits de douane à caractère fiscal.
THE CONTRACTING PARTIES MAY REPLACE A CUSTOMS DUTY OF A FISCAL NATURE OR THE FISCAL ELEMENT OF A CUSTOMS DUTY BY AN INTERNAL TAX .,Les parties contractantes peuvent remplacer un droit de douane à caractère fiscal ou l'élément fiscal d'un droit de douane par une taxe intérieure.
"2 . DENMARK , IRELAND , NORWAY AND THE UNITED KINGDOM MAY RETAIN UNTIL 1 JANUARY 1976 A CUSTOMS DUTY OF A FISCAL NATURE OR THE FISCAL ELEMENT OF A CUSTOMS DUTY IN THE EVENT OF IMPLEMENTATION OF ARTICLE 38 OF THE %quot% ACT CONCERNING THE CONDITIONS OF ACCESSION AND THE ADJUSTMENTS TO THE TREATIES %quot% DRAWN UP AND ADOPTED WITHIN THE CONFERENCE BETWEEN THE EUROPEAN COMMUNITIES AND THE KINGDOM OF DENMARK , IRELAND , THE KINGDOM OF NORWAY AND THE UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND .","2. Le Danemark, l'Irlande, la Norvège et le Royaume-Uni peuvent maintenir jusqu'au 1er janvier 1976 un droit de douane à caractère fiscal ou l'élément fiscal d'un droit de douane en cas d'application de l'article 38 de l'«Acte relatif aux conditions d'adhésion et aux adaptations des traités», établi et arrêté au sein de la conférence entre les Communautés européennes et le royaume de Danemark, l'Irlande, le royaume de Norvège et le Royaume-Uni de Grande-Bretagne et d'Irlande du Nord."
"3 . SWITZERLAND MAY RETAIN TEMPORARILY , WHILE OBSERVING THE CONDITIONS OF ARTICLE 18 , DUTIES CORRESPONDING TO THE FISCAL ELEMENT CONTAINED IN CUSTOMS DUTIES ON IMPORTS OF PRODUCTS SPECIFIED IN ANNEX II .","3. La Suisse peut maintenir temporairement, en respectant les conditions de l'article 18, des droits correspondant à l'élément fiscal contenu dans les droits de douane à l'importation pour les produits figurant à l'annexe II."
"THE JOINT COMMITTEE PROVIDED FOR IN ARTICLE 29 SHALL EXAMINE WHETHER THE CONDITIONS SET OUT IN THE PRECEDING SUBPARAGRAPH ARE BEING MET , PARTICULARLY WHERE A CHANGE HAS BEEN MADE IN THE AMOUNT OF THE FISCAL ELEMENT .","Le comité mixte prévu à l'article 29 vérifie les conditions d'application de l'alinéa précédent, notamment en cas de modification du montant de l'élément fiscal."
THE JOINT COMMITTEE SHALL EXAMINE THE POSITION WITH A VIEW TO THE CONVERSION OF SUCH DUTIES INTO INTERNAL CHARGES BEFORE 1 JANUARY 1980 OR BEFORE ANY OTHER DATE WHICH IT MIGHT DETERMINE IN THE LIGHT OF CIRCUMSTANCES .,Il examine la situation en vue de la transformation de ces droits en taxes internes avant le 1er janvier 1980 ou avant toute autre date qu'il serait amené à déterminer compte tenu des circonstances.
ARTICLE 5,Article 5
"1 . THE BASIC DUTY TO WHICH THE SUCCESSIVE REDUCTIONS PROVIDED FOR IN ARTICLE 3 AND IN PROTOCOL NO 1 ARE TO BE APPLIED SHALL , FOR EACH PRODUCT , BE THE DUTY ACTUALLY APPLIED ON 1 JANUARY 1972 .","1. Pour chaque produit, le droit de base sur lequel les réductions successives prévues à l'article 3 et au effectivement appliqué le 1er janvier 1972."
"2 . IF , AFTER 1 JANUARY 1972 , ANY TARIFF REDUCTIONS RESULTING FROM THE TARIFF AGREEMENTS CONCLUDED AS A RESULT OF THE TRADE CONFERENCE HELD IN GENEVA FROM 1964 TO 1967 BECOME APPLICABLE , SUCH REDUCED DUTIES SHALL REPLACE THE BASIC DUTIES REFERRED TO IN PARAGRAPH 1 .","2. Si, après le 1er janvier 1972, des réductions de droits résultant des accords tarifaires conclus à l'issue de la conférence de négociations commerciales de Genève (1964/1967) deviennent applicables, les droits ainsi réduits se substituent aux droits de base visés au paragraphe 1."
3 . THE REDUCED DUTIES CALCULATED IN ACCORDANCE WITH ARTICLE 3 AND PROTOCOL NO 1 SHALL BE APPLIED ROUNDED TO THE FIRST DECIMAL PLACE .,3. Les droits réduits calculés conformément à l'article 3 et au protocole nº 1 sont appliqués en arrondissant à la première décimale.
"SUBJECT TO THE APPLICATION BY THE COMMUNITY OF ARTICLE 39 ( 5 ) OF THE %quot% ACT CONCERNING THE CONDITIONS OF ACCESSION AND THE ADJUSTMENTS TO THE TREATIES %quot% DRAWN UP AND ADOPTED WITHIN THE CONFERENCE BETWEEN THE EUROPEAN COMMUNITIES AND THE KINGDOM OF DENMARK , IRELAND , THE KINGDOM OF NORWAY AND THE UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND , AS REGARDS THE SPECIFIC DUTIES OR THE SPECIFIC PART OF THE MIXED DUTIES IN THE IRISH CUSTOMS TARIFF , ARTICLE 3 AND PROTOCOL NO 1 SHALL BE APPLIED , WITH ROUNDING TO THE FOURTH DECIMAL PLACE .","Sous réserve de l'application à donner par la Communauté à l'article 39 paragraphe 5 de l'«Acte relatif aux conditions d'adhésion et aux adaptations destraités», établi et arrêté au sein de la conférence entreles Communautés européennes et le royaume de Danemark, l'Irlande, le royaume de Norvège et le Royaume-Uni de Grande-Bretagne et d'Irlande du Nord, pour les droits spécifiques ou la partie spécifique des droits mixtes du tarif douanier irlandais, l'article 3 et le protocole nº 1 sont appliqués en arrondissant à la quatrième décimale."
ARTICLE 6,Article 6
1 . NO NEW CHARGE HAVING AN EFFECT EQUIVALENT TO A CUSTOMS DUTY ON IMPORTS SHALL BE INTRODUCED IN TRADE BETWEEN THE COMMUNITY AND SWITZERLAND .,1. Aucune nouvelle taxe d'effet équivalant à des droits de douane à l'importation n'est introduite dans les échanges entre la Communauté et la Suisse.
2 . CHARGES HAVING AN EFFECT EQUIVALENT TO CUSTOMS DUTIES ON IMPORTS INTRODUCED ON OR AFTER 1 JANUARY 1972 IN TRADE BETWEEN THE COMMUNITY AND SWITZERLAND SHALL BE ABOLISHED UPON THE ENTRY INTO FORCE OF THE AGREEMENT .,2. Les taxes d'effet équivalant à des droits de douane à l'importation introduites à partir du 1er janvier 1972 dans les échanges entre la Communauté et la Suisse sont supprimées à l'entrée en vigueur de l'accord.
"ANY CHARGE HAVING AN EFFECT EQUIVALENT TO A CUSTOMS DUTY ON IMPORTS , THE RATE OF WHICH ON 31 DECEMBER 1972 IS HIGHER THAN THAT ACTUALLY APPLIED ON 1 JANUARY 1972 SHALL BE REDUCED TO THE LATTER RATE UPON THE ENTRY INTO FORCE OF THE AGREEMENT .","Toute taxe d'effet équivalant à un droit de douane à l'importation dont le taux serait, le 31 décembre 1972, supérieur à celui effectivement appliqué le 1er janvier 1972, est ramenée à ce dernier taux à l'entrée en vigueur de l'accord."
3 . CHARGES HAVING AN EFFECT EQUIVALENT TO CUSTOMS DUTIES ON IMPORTS SHALL BE PROGRESSIVELY ABOLISHED IN ACCORDANCE WITH THE FOLLOWING TIMETABLE :,3. Les taxes d'effet équivalant à des droits de douane à l'importation sont progressivement supprimées selon le rythme suivant:
( A ) BY 1 JANUARY 1974 AT THE LATEST EACH CHARGE SHALL BE REDUCED TO 60 % OF THE RATE APPLIED ON 1 JANUARY 1972 ;,"- chaque taxe est ramenée, au plus tard le 1er janvier 1974, à 60 % du taux appliqué le 1er janvier 1972;"
( B ) THREE FURTHER REDUCTIONS OF 20 % EACH SHALL BE MADE ON :,"- les trois autres réductions, de 20 % chacune, sont effectuées:"
"1 JANUARY 1975 ,","le 1er janvier 1975,"
"1 JANUARY 1976 ,","le 1er janvier 1976,"
1 JULY 1977 .,le 1er juillet 1977.
ARTICLE 7,Article 7
1 . NO CUSTOMS DUTY ON EXPORTS OR CHARGE HAVING EQUIVALENT EFFECT SHALL BE INTRODUCED IN TRADE BETWEEN THE COMMUNITY AND SWITZERLAND .,1. Aucun droit de douane à l'exportation ni taxe d'effet équivalent ne sont introduits dans les échanges entre la Communauté et la Suisse.
CUSTOMS DUTIES ON EXPORTS AND CHARGES HAVING EQUIVALENT EFFECT SHALL BE ABOLISHED NOT LATER THAN 1 JANUARY 1974 .,Les droits de douane à l'exportation et les taxes d'effet équivalent sont supprimés au plus tard le 1er janvier 1974.
"2 . IN THE CASE OF PRODUCTS LISTED IN ANNEX III , THE CONTRACTING PARTIES MAY TAKE , IN SUCH MANNER AS THEY SHALL DETERMINE , THE MEASURES THEY CONSIDER NECESSARY TO IMPLEMENT THEIR SUPPLY POLICIES .","2. Pour les produits repris à l'annexe III, les parties contractantes peuvent prendre, selon les modalités de leur choix, les mesures qu'elles estiment nécessaires pour"
ARTICLE 8,Article 8
PROTOCOL NO 1 LAYS DOWN THE TARIFF TREATMENT AND ARRANGEMENTS APPLICABLE TO CERTAIN PRODUCTS .,Le protocole nº 1 détermine le régime tarifaire et les modalités applicables à certains produits.
ARTICLE 9,Article 9
PROTOCOL NO 2 LAYS DOWN THE TARIFF TREATMENT AND ARRANGEMENTS APPLICABLE TO CERTAIN GOODS OBTAINED BY PROCESSING AGRICULTURAL PRODUCTS .,Le protocole nº 2 détermine le régime tarifaire et les modalités applicables à certaines marchandises résultant de la transformation de produits agricoles.
ARTICLE 10,Article 10
1 . IN THE EVENT OF SPECIFIC RULES BEING ESTABLISHED AS OR OF ANY ALTERATION OF THE CURRENT RULES THE CONTRACTING PARTY IN QUESTION MAY ADAPT THE ARRANGEMENTS RESULTING FROM THIS AGREEMENT IN RESPECT OF THE PRODUCTS WHICH ARE THE SUBJECT OF THOSE RULES OR ALTERATIONS .,"1. En cas d'établissement d'une réglementation spécifique comme conséquence de la mise en oeuvre de sa politique agricole ou de modification de la réglementation existante, la partie contractante en cause peut adapter, pour les produits qui en font l'objet, le régime résultant de l'accord."
2 . IN SUCH CASES THE CONTRACTING PARTY IN QUESTION SHALL TAKE DUE ACCOUNT OF THE INTERESTS OF THE OTHER CONTRACTING PARTY . TO THIS END THE CONTRACTING PARTIES MAY CONSULT EACH OTHER WITHIN THE JOINT COMMITTEE .,"2. Dans ces cas, la partie contractante en cause tient compte de manière appropriée des intérêts de l'autre partie contractante. Les parties contractantes peuvent, à cette fin, se consulter au sein du comité mixte."
ARTICLE 11,Article 11
PROTOCOL NO 3 LAYS DOWN THE RULES OF ORIGIN .,Le protocole nº 3 détermine les règles d'origine.
ARTICLE 12,Article 12
"A CONTRACTING PARTY WHICH IS CONSIDERING THE REDUCTION OF THE EFFECTIVE LEVEL OF ITS DUTIES OR CHARGES HAVING EQUIVALENT EFFECT APPLICABLE TO THIRD COUNTRIES BENEFITING FROM MOST FAVOURED-NATION TREATMENT , OR WHICH IS CONSIDERING THE SUSPENSION OF THEIR APPLICATION , SHALL , AS FAR AS MAY BE PRACTICABLE , NOTIFY THE JOINT COMMITTEE NOT LESS THAN THIRTY DAYS BEFORE SUCH REDUCTION OR SUSPENSION COMES INTO EFFECT . IT SHALL TAKE NOTE OF ANY REPRESENTATIONS BY THE OTHER CONTRACTING PARTY REGARDING ANY DISTORTIONS WHICH MIGHT RESULT THEREFROM .","La partie contractante qui envisage de réduire le niveau effectif de ses droits de douane ou taxes d'effet équivalent, applicables aux pays tiers bénéficiant de la clause de la nation la plus favorisée, ou d'en suspendre l'application, notifie cette réduction ou cette suspension au comité mixte trente jours au moinsavant son entrée en vigueur, pour autant que cela soit possible. Elle prend acte de toute observation de l'autre partie contractante quant aux distorsions qui pourraient en résulter."
ARTICLE 13,Article 13
1 . NO NEW QUANTITATIVE RESTRICTION ON IMPORTS OR MEASURES HAVING EQUIVALENT EFFECT SHALL BE INTRODUCED IN TRADE BETWEEN THE COMMUNITY AND SWITZERLAND .,1. Aucune nouvelle restriction quantitative à l'importation ni mesure d'effet équivalent ne sont introduites dans les échanges entre la Communauté et la Suisse.
2 . QUANTITATIVE RESTRICTIONS ON IMPORTS SHALL BE ABOLISHED ON 1 JANUARY 1973 AND ANY MEASURES HAVING AN EFFECT EQUIVALENT TO QUANTITATIVE RESTRICTIONS ON IMPORTS SHALL BE ABOLISHED NOT LATER THAN 1 JANUARY 1975 .,2. Les restrictions quantitatives à l'importation sont supprimées le 1er janvier 1973 et les mesures d'effet équi valant à des restrictions quantitatives à l'importation le 1er janvier 1975 au plus tard.
ARTICLE 14,Article 14
"1 . THE COMMUNITY RESERVES THE RIGHT TO MODIFY THE ARRANGEMENTS APPLICABLE TO THE PETROLEUM PRODUCTS FALLING WITHIN HEADING NOS 27.10 , 27.11 , 27.12 , EX 27.13 ( PARAFFIN WAX , MICRO-CRYSTALLINE WAX , OR BITUMINOUS SHALE AND OTHER MINERAL WAXES ) AND 27.14 OF THE BRUSSELS NOMENCLATURE UPON ADOPTION OF A COMMON DEFINITION OF ORIGIN FOR PETROLEUM PRODUCTS , UPON ADOPTION OF DECISIONS UNDER THE COMMON COMMERCIAL POLICY FOR THE PRODUCTS IN QUESTION OR UPON ESTABLISHMENT OF A COMMON ENERGY POLICY .","1. La Communauté se réserve de modifier le régime des produits pétroliers relevant des positions tarifaires 27.10, 27.11, 27.12, ex 27.13 (paraffine, cires de pétrole ou de minéraux bitumineux, résidus paraf de l'adoption d'une définition commune de l'origine pour les produits pétroliers, lors de décisions prises dans le cadre de la politique commerciale commune pour les produits en cause ou lors de l'établissementd'une politique énergétique commune."
